cause_of_death,chapter,category,2008_Males,2008_Females,2008_Persons,2009_Males,2009_Females,2009_Persons,2010_Males,2010_Females,2010_Persons,2011_Males,2011_Females,2011_Persons,2012_Males,2012_Females,2012_Persons,2013_Males,2013_Females,2013_Persons,2014_Males,2014_Females,2014_Persons,2015_Males,2015_Females,2015_Persons,2016_Males,2016_Females,2016_Persons,2017_Males,2017_Females,2017_Persons
Mycetoma,CHAPTER I Certain infectious and parasitic diseases,,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0
"Other mycoses, not elsewhere classified",CHAPTER I Certain infectious and parasitic diseases,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unspecified mycosis,CHAPTER I Certain infectious and parasitic diseases,,3,1,4,4,0,4,8,3,11,2,1,3,5,0,5,0,5,5,0,5,5,2,4,6,4,1,5,6,7,13
Protozoal diseases,CHAPTER I Certain infectious and parasitic diseases,,12,2,14,11,4,15,8,5,13,15,1,16,9,8,17,11,2,13,10,6,16,6,5,11,3,2,5,8,3,11
Plasmodium falciparum malaria,CHAPTER I Certain infectious and parasitic diseases,,0,0,0,0,0,0,1,1,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Plasmodium vivax malaria,CHAPTER I Certain infectious and parasitic diseases,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Plasmodium malariae malaria,CHAPTER I Certain infectious and parasitic diseases,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Other parasitologically confirmed malaria,CHAPTER I Certain infectious and parasitic diseases,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unspecified malaria,CHAPTER I Certain infectious and parasitic diseases,,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Leishmaniasis,CHAPTER I Certain infectious and parasitic diseases,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
African trypanosomiasis,CHAPTER I Certain infectious and parasitic diseases,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chagas' disease,CHAPTER I Certain infectious and parasitic diseases,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Toxoplasmosis,CHAPTER I Certain infectious and parasitic diseases,,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,0,2
Pneumocystosis,CHAPTER I Certain infectious and parasitic diseases,,11,2,13,9,3,12,6,4,10,15,1,16,8,8,16,10,2,12,8,6,14,6,5,11,3,2,5,5,3,8
"Other protozoal diseases, not elsewhere classified",CHAPTER I Certain infectious and parasitic diseases,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
Unspecified protozoal disease,CHAPTER I Certain infectious and parasitic diseases,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Helminthiases,CHAPTER I Certain infectious and parasitic diseases,,1,1,2,2,1,3,1,0,1,1,0,1,1,1,2,2,0,2,1,0,1,0,0,0,1,1,2,1,0,1
Schistosomiasis [bilharziasis],CHAPTER I Certain infectious and parasitic diseases,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Other fluke infections,CHAPTER I Certain infectious and parasitic diseases,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Echinococcosis,CHAPTER I Certain infectious and parasitic diseases,,1,1,2,1,1,2,1,0,1,1,0,1,1,1,2,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1
Taeniasis,CHAPTER I Certain infectious and parasitic diseases,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cysticercosis,CHAPTER I Certain infectious and parasitic diseases,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
Diphyllobothriasis and sparganosis,CHAPTER I Certain infectious and parasitic diseases,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Other cestode infections,CHAPTER I Certain infectious and parasitic diseases,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dracunculiasis,CHAPTER I Certain infectious and parasitic diseases,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Onchocerciasis,CHAPTER I Certain infectious and parasitic diseases,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Filariasis,CHAPTER I Certain infectious and parasitic diseases,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trichinellosis,CHAPTER I Certain infectious and parasitic diseases,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hookworm diseases,CHAPTER I Certain infectious and parasitic diseases,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ascariasis,CHAPTER I Certain infectious and parasitic diseases,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Strongyloidiasis,CHAPTER I Certain infectious and parasitic diseases,,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,1,1,0,0,0
Trichuriasis,CHAPTER I Certain infectious and parasitic diseases,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Enterobiasis,CHAPTER I Certain infectious and parasitic diseases,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Other intestinal helminthiases, not elsewhere classified",CHAPTER I Certain infectious and parasitic diseases,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unspecified intestinal parasitism,CHAPTER I Certain infectious and parasitic diseases,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Other helminthiases,CHAPTER I Certain infectious and parasitic diseases,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pediculosis, acariasis and other infestations",CHAPTER I Certain infectious and parasitic diseases,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,2,2
Pediculosis and phthiriasis,CHAPTER I Certain infectious and parasitic diseases,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scabies,CHAPTER I Certain infectious and parasitic diseases,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,2,2
Myiasis,CHAPTER I Certain infectious and parasitic diseases,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Other infestations,CHAPTER I Certain infectious and parasitic diseases,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unspecified parasitic disease,CHAPTER I Certain infectious and parasitic diseases,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sequelae of infectious and parasitic diseases,CHAPTER I Certain infectious and parasitic diseases,,132,96,228,140,88,228,155,81,236,219,114,333,186,91,277,44,45,89,53,39,92,42,42,84,63,37,100,29,28,57
Sequelae of tuberculosis,CHAPTER I Certain infectious and parasitic diseases,,7,6,13,6,7,13,1,3,4,8,7,15,2,3,5,1,0,1,2,1,3,0,3,3,3,0,3,1,1,2
Sequelae of poliomyelitis,CHAPTER I Certain infectious and parasitic diseases,,3,14,17,8,10,18,11,7,18,10,8,18,16,15,31,7,9,16,5,6,11,5,9,14,10,4,14,5,6,11
Sequelae of leprosy,CHAPTER I Certain infectious and parasitic diseases,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sequelae of other and unspecified infectious and parasitic diseases,CHAPTER I Certain infectious and parasitic diseases,,122,76,198,126,71,197,143,71,214,201,99,300,168,73,241,36,36,72,46,32,78,37,30,67,50,33,83,23,21,44
"Bacterial,viral and other infectious agents",CHAPTER I Certain infectious and parasitic diseases,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Streptococcus and staphylococcus as the cause of diseases classified to other chapters,CHAPTER I Certain infectious and parasitic diseases,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Other bacterial agents as the cause of diseases classified to other chapters,CHAPTER I Certain infectious and parasitic diseases,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Viral agents as the cause of diseases classified to other chapters,CHAPTER I Certain infectious and parasitic diseases,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Other specified infectious agents as the cause of diseases classified to other chapters,CHAPTER I Certain infectious and parasitic diseases,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Other infectious diseases,CHAPTER I Certain infectious and parasitic diseases,,12,15,27,10,10,20,6,9,15,7,16,23,8,14,22,11,18,29,11,12,23,9,15,24,9,14,23,13,13,26
Other and unspecified infectious diseases,CHAPTER I Certain infectious and parasitic diseases,,12,15,27,10,10,20,6,9,15,7,16,23,8,14,22,11,18,29,11,12,23,9,15,24,9,14,23,13,13,26
Malignant neoplasms,CHAPTER II Neoplasms,,"23,347","18,003","41,350","23,201","17,803","41,004","24,036","18,308","42,344","24,206","18,475","42,681","23,996","18,465","42,461","24,614","18,888","43,502","24,360","19,196","43,556","25,455","19,855","45,310","25,530","19,614","45,144","25,524","19,706","45,230"
"Malignant neoplasms of lip, oral cavity and pharynx",CHAPTER II Neoplasms,,478,199,677,522,216,738,551,211,762,493,208,701,547,200,747,581,237,818,552,229,781,642,254,896,596,250,846,601,238,839
Malignant neoplasm of lip,CHAPTER II Neoplasms,,10,1,11,6,3,9,4,7,11,11,4,15,11,1,12,3,1,4,2,0,2,7,0,7,5,2,7,3,2,5
Malignant neoplasm of base of tongue,CHAPTER II Neoplasms,,14,7,21,19,2,21,20,7,27,14,6,20,14,7,21,5,4,9,13,2,15,19,3,22,13,4,17,16,2,18
Malignant neoplasm of other and unspecified parts of tongue,CHAPTER II Neoplasms,,106,50,156,98,58,156,124,53,177,97,41,138,114,75,189,154,67,221,106,65,171,144,76,220,122,73,195,136,66,202
Malignant neoplasm of gum,CHAPTER II Neoplasms,,4,9,13,6,1,7,7,7,14,5,7,12,7,4,11,12,6,18,6,11,17,10,7,17,8,8,16,9,5,14
Malignant neoplasm of floor of mouth,CHAPTER II Neoplasms,,16,7,23,14,3,17,21,6,27,18,5,23,24,2,26,5,4,9,8,1,9,7,2,9,6,6,12,16,6,22
Malignant neoplasm of palate,CHAPTER II Neoplasms,,11,7,18,16,6,22,9,11,20,11,6,17,15,6,21,13,10,23,10,6,16,10,10,20,6,11,17,5,5,10
Malignant neoplasm of other and unspecified parts of mouth,CHAPTER II Neoplasms,,34,23,57,42,31,73,34,25,59,34,35,69,30,31,61,51,38,89,59,31,90,47,44,91,48,42,90,36,40,76
Malignant neoplasm of parotid gland,CHAPTER II Neoplasms,,55,18,73,41,24,65,56,15,71,46,26,72,59,17,76,50,28,78,70,30,100,71,22,93,66,22,88,61,20,81
Malignant neoplasm of other and unspecified major salivary glands,CHAPTER II Neoplasms,,10,9,19,5,5,10,11,6,17,2,5,7,7,6,13,10,4,14,8,5,13,15,3,18,15,6,21,7,8,15
Malignant neoplasm of tonsil,CHAPTER II Neoplasms,,44,14,58,67,15,82,64,12,76,55,13,68,66,8,74,70,14,84,57,18,75,73,15,88,75,15,90,74,15,89
Malignant neoplasm of oropharynx,CHAPTER II Neoplasms,,35,15,50,51,24,75,56,15,71,62,22,84,61,9,70,63,24,87,63,20,83,73,25,98,68,22,90,81,13,94
Malignant neoplasm of nasopharynx,CHAPTER II Neoplasms,,41,18,59,45,18,63,32,16,48,41,14,55,31,12,43,44,13,57,47,10,57,57,20,77,52,15,67,40,20,60
Malignant neoplasm of pyriform sinus,CHAPTER II Neoplasms,,10,4,14,17,3,20,27,3,30,10,1,11,16,1,17,9,0,9,21,7,28,10,3,13,12,0,12,11,3,14
Malignant neoplasm of hypopharynx,CHAPTER II Neoplasms,,22,3,25,20,4,24,31,4,35,14,6,20,25,3,28,27,10,37,23,7,30,27,4,31,31,8,39,48,10,58
"Malignant neoplasm of other and ill-defined sites in the lip, oral cavity and pharynx",CHAPTER II Neoplasms,,66,14,80,75,19,94,55,24,79,73,17,90,67,18,85,65,14,79,59,16,75,72,20,92,69,16,85,58,23,81
Malignant neoplasms of digestive organs,CHAPTER II Neoplasms,,"6,592","5,066","11,658","6,622","4,917","11,539","6,834","5,025","11,859","6,826","5,079","11,905","6,950","5,084","12,034","7,163","5,278","12,441","7,056","5,291","12,347","7,510","5,619","13,129","7,642","5,531","13,173","7,587","5,648","13,235"
Malignant neoplasm of oesophagus,CHAPTER II Neoplasms,,843,369,"1,212",820,357,"1,177",879,344,"1,223",902,327,"1,229",879,324,"1,203",882,363,"1,245",869,329,"1,198",949,380,"1,329",988,350,"1,338",925,340,"1,265"
Malignant neoplasm of stomach,CHAPTER II Neoplasms,,717,428,"1,145",677,425,"1,102",719,375,"1,094",717,425,"1,142",707,436,"1,143",797,430,"1,227",705,433,"1,138",712,439,"1,151",707,380,"1,087",719,442,"1,161"
Malignant neoplasm of small intestine,CHAPTER II Neoplasms,,53,47,100,61,33,94,59,40,99,55,40,95,72,55,127,58,49,107,54,44,98,60,41,101,65,55,120,74,58,132
Malignant neoplasm of colon,CHAPTER II Neoplasms,,"1,273","1,212","2,485","1,212","1,116","2,328","1,122","1,026","2,148","1,082",995,"2,077","1,022",943,"1,965",994,952,"1,946",868,906,"1,774",907,872,"1,779",918,834,"1,752",852,750,"1,602"
Malignant neoplasm of rectosigmoid junction,CHAPTER II Neoplasms,,462,354,816,550,377,927,648,479,"1,127",691,525,"1,216",742,586,"1,328",862,647,"1,509",924,677,"1,601","1,029",830,"1,859","1,076",838,"1,914","1,028",884,"1,912"
Malignant neoplasm of rectum,CHAPTER II Neoplasms,,470,291,761,467,285,752,438,274,712,446,260,706,445,245,690,443,265,708,446,252,698,422,289,711,417,243,660,451,235,686
Malignant neoplasm of anus and anal canal,CHAPTER II Neoplasms,,29,34,63,25,36,61,37,37,74,29,59,88,32,39,71,33,39,72,43,55,98,36,51,87,39,48,87,40,58,98
Malignant neoplasm of liver and intrahepatic bile ducts,CHAPTER II Neoplasms,,797,416,"1,213",888,440,"1,328",888,449,"1,337",980,443,"1,423",976,514,"1,490","1,040",534,"1,574","1,131",601,"1,732","1,222",598,"1,820","1,231",633,"1,864","1,241",673,"1,914"
Malignant neoplasm of gallbladder,CHAPTER II Neoplasms,,62,129,191,39,118,157,60,112,172,36,116,152,63,115,178,48,117,165,45,110,155,56,121,177,53,103,156,49,122,171
Malignant neoplasm of other and unspecified parts of biliary tract,CHAPTER II Neoplasms,,44,45,89,54,35,89,39,47,86,53,44,97,36,40,76,55,37,92,48,36,84,63,50,113,57,56,113,59,53,112
Malignant neoplasm of pancreas,CHAPTER II Neoplasms,,"1,191","1,098","2,289","1,142","1,062","2,204","1,233","1,201","2,434","1,218","1,198","2,416","1,331","1,193","2,524","1,336","1,223","2,559","1,292","1,255","2,547","1,435","1,328","2,763","1,500","1,411","2,911","1,566","1,430","2,996"
Malignant neoplasm of other and ill-defined digestive organs,CHAPTER II Neoplasms,,651,643,"1,294",687,633,"1,320",712,641,"1,353",617,647,"1,264",645,594,"1,239",615,622,"1,237",631,593,"1,224",619,620,"1,239",591,580,"1,171",583,603,"1,186"
Malignant neoplasms of respiratory and intrathoracic organs,CHAPTER II Neoplasms,,"5,280","2,994","8,274","4,995","3,080","8,075","5,213","3,239","8,452","5,191","3,217","8,408","5,121","3,314","8,435","5,244","3,280","8,524","5,192","3,375","8,567","5,228","3,528","8,756","5,260","3,432","8,692","5,133","3,403","8,536"
Malignant neoplasm of nasal cavity and middle ear,CHAPTER II Neoplasms,,1,0,1,2,3,5,4,5,9,3,2,5,3,1,4,7,4,11,10,5,15,3,1,4,4,0,4,4,2,6
Malignant neoplasm of accessory sinuses,CHAPTER II Neoplasms,,16,9,25,14,12,26,20,9,29,23,9,32,18,8,26,24,8,32,17,15,32,16,5,21,31,5,36,17,5,22
Malignant neoplasm of larynx,CHAPTER II Neoplasms,,204,34,238,191,23,214,223,32,255,173,34,207,185,24,209,192,28,220,187,25,212,195,27,222,173,21,194,169,25,194
Malignant neoplasm of trachea,CHAPTER II Neoplasms,,5,0,5,4,0,4,3,1,4,4,2,6,7,1,8,3,0,3,6,0,6,4,3,7,3,1,4,4,2,6
Malignant neoplasm of bronchus and lung,CHAPTER II Neoplasms,,"5,023","2,928","7,951","4,758","3,024","7,782","4,932","3,166","8,098","4,958","3,153","8,111","4,876","3,254","8,130","4,991","3,221","8,212","4,942","3,304","8,246","4,987","3,475","8,462","5,020","3,386","8,406","4,907","3,349","8,256"
Malignant neoplasm of thymus,CHAPTER II Neoplasms,,4,7,11,10,4,14,10,5,15,14,6,20,10,10,20,10,8,18,10,12,22,8,9,17,12,10,22,15,11,26
"Malignant neoplasm of heart, mediastinum and pleura",CHAPTER II Neoplasms,,18,13,31,13,13,26,18,19,37,12,11,23,19,16,35,16,10,26,19,14,33,14,7,21,16,9,25,15,9,24
Malignant neoplasm of other and ill-defined sites in the respiratory system and intrathoracic organs,CHAPTER II Neoplasms,,9,3,12,3,1,4,3,2,5,4,0,4,3,0,3,1,1,2,1,0,1,1,1,2,1,0,1,2,0,2
Malignant neoplasms of bone and articular cartilage,CHAPTER II Neoplasms,,59,45,104,66,33,99,63,51,114,49,36,85,75,37,112,53,46,99,66,38,104,67,40,107,55,45,100,60,45,105
Malignant neoplasm of bone and articular cartilage of limbs,CHAPTER II Neoplasms,,4,6,10,7,1,8,6,10,16,2,7,9,5,2,7,5,1,6,6,3,9,3,4,7,5,2,7,5,6,11
Malignant neoplasm of bone and articular cartilage of other and unspecified sites,CHAPTER II Neoplasms,,55,39,94,59,32,91,57,41,98,47,29,76,70,35,105,48,45,93,60,35,95,64,36,100,50,43,93,55,39,94
Melanoma and other malignant neoplasms of skin,CHAPTER II Neoplasms,,"1,244",613,"1,857","1,238",599,"1,837","1,297",600,"1,897","1,426",661,"2,087","1,401",635,"2,036","1,523",685,"2,208","1,381",688,"2,069","1,459",705,"2,164","1,314",646,"1,960","1,303",708,"2,011"
Malignant melanoma of skin,CHAPTER II Neoplasms,,964,472,"1,436",933,452,"1,385",993,459,"1,452",1071,473,"1,544","1,039",476,"1,515","1,107",509,"1,616",988,479,"1,467","1,004",516,"1,520",863,418,"1,281",876,501,"1,377"
Other malignant neoplasms of skin,CHAPTER II Neoplasms,,280,141,421,305,147,452,304,141,445,355,188,543,362,159,521,416,176,592,393,209,602,455,189,644,451,228,679,427,207,634
Malignant neoplasms of mesothelial and soft tissue,CHAPTER II Neoplasms,,637,312,949,614,282,896,696,326,"1,022",685,276,961,693,308,"1,001",718,332,"1,050",771,296,"1,067",731,355,"1,086",753,334,"1,087",791,349,"1,140"
Mesothelioma,CHAPTER II Neoplasms,,504,124,628,472,107,579,516,126,642,510,96,606,538,100,638,537,119,656,575,117,692,538,137,675,558,114,672,572,125,697
Kaposi sarcoma,CHAPTER II Neoplasms,,2,0,2,0,2,2,4,0,4,1,0,1,1,1,2,6,1,7,1,1,2,2,0,2,1,2,3,3,0,3
Malignant neoplasm of peripheral nerves and autonomic nervous system,CHAPTER II Neoplasms,,6,3,9,8,1,9,7,4,11,7,2,9,2,2,4,7,2,9,1,6,7,3,2,5,0,3,3,2,5,7
Malignant neoplasm of retroperitoneum and peritoneum,CHAPTER II Neoplasms,,16,77,93,19,66,85,29,66,95,16,61,77,21,75,96,20,67,87,14,60,74,13,76,89,18,58,76,24,67,91
Malignant neoplasm of other connective and soft tissue,CHAPTER II Neoplasms,,109,108,217,115,106,221,140,130,270,151,117,268,131,130,261,148,143,291,180,112,292,175,140,315,176,157,333,190,152,342
Malignant neoplasm of breast,CHAPTER II Neoplasms,,14,"2,775","2,789",27,"2,772","2,799",24,"2,842","2,866",23,"2,915","2,938",24,"2,795","2,819",30,"2,862","2,892",30,"2,814","2,844",28,"2,939","2,967",28,"2,976","3,004",30,"2,898","2,928"
Malignant neoplasm of breast,CHAPTER II Neoplasms,,14,"2,775","2,789",27,"2,772","2,799",24,"2,842","2,866",23,"2,915","2,938",24,"2,795","2,819",30,"2,862","2,892",30,"2,814","2,844",28,"2,939","2,967",28,"2,976","3,004",30,"2,898","2,928"
Malignant neoplasms of female genital organs,CHAPTER II Neoplasms,,0,"1,600","1,600",0,"1,572","1,572",0,"1,635","1,635",0,"1,653","1,653",0,"1,733","1,733",0,"1,762","1,762",0,"1,839","1,839",0,"1,805","1,805",0,"1,884","1,884",0,"1,867","1,867"
Malignant neoplasm of vulva,CHAPTER II Neoplasms,,0,72,72,0,74,74,0,68,68,0,69,69,0,90,90,0,105,105,0,79,79,0,98,98,0,88,88,0,79,79
Malignant neoplasm of vagina,CHAPTER II Neoplasms,,0,26,26,0,23,23,0,21,21,0,29,29,0,20,20,0,31,31,0,28,28,0,20,20,0,35,35,0,19,19
Malignant neoplasm of cervix uteri,CHAPTER II Neoplasms,,0,235,235,0,240,240,0,231,231,0,229,229,0,225,225,0,224,224,0,223,223,0,230,230,0,259,259,0,230,230
Malignant neoplasm of corpus uteri,CHAPTER II Neoplasms,,0,221,221,0,217,217,0,219,219,0,225,225,0,272,272,0,268,268,0,305,305,0,326,326,0,343,343,0,333,333
"Malignant neoplasm of uterus, part unspecified",CHAPTER II Neoplasms,,0,129,129,0,137,137,0,146,146,0,156,156,0,149,149,0,156,156,0,189,189,0,167,167,0,184,184,0,178,178
Malignant neoplasm of ovary,CHAPTER II Neoplasms,,0,898,898,0,853,853,0,912,912,0,903,903,0,933,933,0,949,949,0,975,975,0,928,928,0,938,938,0,990,990
Malignant neoplasm of other and unspecified female genital organs,CHAPTER II Neoplasms,,0,19,19,0,26,26,0,37,37,0,41,41,0,44,44,0,29,29,0,37,37,0,34,34,0,35,35,0,37,37
Malignant neoplasm of placenta,CHAPTER II Neoplasms,,0,0,0,0,2,2,0,1,1,0,1,1,0,0,0,0,0,0,0,3,3,0,2,2,0,2,2,0,1,1
Malignant neoplasms of male genital organs,CHAPTER II Neoplasms,,"3,053",0,"3,053","3,149",0,"3,149","3,280",0,"3,280","3,331",0,"3,331","3,118",0,"3,118","3,159",0,"3,159","3,140",0,"3,140","3,239",0,"3,239","3,295",0,"3,295","3,321",0,"3,321"
Malignant neoplasm of penis,CHAPTER II Neoplasms,,10,0,10,18,0,18,17,0,17,18,0,18,14,0,14,27,0,27,10,0,10,16,0,16,19,0,19,20,0,20
Malignant neoplasm of prostate,CHAPTER II Neoplasms,,"3,031",0,"3,031","3,111",0,"3,111","3,236",0,"3,236","3,294",0,"3,294","3,078",0,"3,078","3,113",0,"3,113","3,102",0,"3,102","3,196",0,"3,196","3,248",0,"3,248","3,275",0,"3,275"
Malignant neoplasm of testis,CHAPTER II Neoplasms,,12,0,12,18,0,18,23,0,23,16,0,16,24,0,24,15,0,15,24,0,24,23,0,23,24,0,24,23,0,23
Malignant neoplasm of other and unspecified male genital organs,CHAPTER II Neoplasms,,0,0,0,2,0,2,4,0,4,3,0,3,2,0,2,4,0,4,4,0,4,4,0,4,4,0,4,3,0,3
Malignant neoplasms of urinary tract,CHAPTER II Neoplasms,,"1,243",645,"1,888","1,324",702,"2,026","1,378",690,"2,068","1,412",677,"2,089","1,403",737,"2,140","1,478",695,"2,173","1,518",758,"2,276","1,628",776,"2,404","1,577",750,"2,327","1,604",767,"2,371"
"Malignant neoplasm of kidney, except renal pelvis",CHAPTER II Neoplasms,,530,321,851,572,337,909,575,352,927,557,320,877,574,333,907,626,336,962,574,346,920,617,345,962,629,324,953,609,330,939
Malignant neoplasm of renal pelvis,CHAPTER II Neoplasms,,3,6,9,5,4,9,10,8,18,6,8,14,8,3,11,6,3,9,4,5,9,8,4,12,4,3,7,2,5,7
Malignant neoplasm of ureter,CHAPTER II Neoplasms,,17,13,30,14,21,35,18,11,29,11,16,27,16,13,29,14,23,37,10,9,19,18,15,33,14,17,31,12,10,22
Malignant neoplasm of bladder,CHAPTER II Neoplasms,,663,287,950,704,323,"1,027",736,295,"1,031",752,279,"1,031",707,331,"1,038",738,278,"1,016",735,305,"1,040",806,306,"1,112",721,298,"1,019",741,292,"1,033"
Malignant neoplasm of other and unspecified urinary organs,CHAPTER II Neoplasms,,30,18,48,29,17,46,39,24,63,86,54,140,98,57,155,94,55,149,195,93,288,179,106,285,209,108,317,240,130,370
"Malignant neoplasms of eye, brain and other parts of central nervous system",CHAPTER II Neoplasms,,728,503,"1,231",713,495,"1,208",773,543,"1,316",783,537,"1,320",764,523,"1,287",776,557,"1,333",825,598,"1,423",866,564,"1,430",909,598,"1,507",889,585,"1,474"
Malignant neoplasm of eye and adnexa,CHAPTER II Neoplasms,,12,5,17,13,14,27,25,21,46,12,14,26,19,11,30,18,9,27,16,24,40,11,14,25,24,25,49,21,18,39
Malignant neoplasm of meninges,CHAPTER II Neoplasms,,3,10,13,4,4,8,2,5,7,2,5,7,5,5,10,5,3,8,3,6,9,3,3,6,3,7,10,5,5,10
Malignant neoplasm of brain,CHAPTER II Neoplasms,,709,483,"1,192",694,475,"1,169",738,512,"1,250",760,513,"1,273",738,505,"1,243",747,543,"1,290",801,565,"1,366",849,542,"1,391",878,561,"1,439",855,560,"1,415"
"Malignant neoplasm of spinal cord, cranial nerves and other parts of central nervous system",CHAPTER II Neoplasms,,4,5,9,2,2,4,8,5,13,9,5,14,2,2,4,6,2,8,5,3,8,3,5,8,4,5,9,8,2,10
Malignant neoplasms of thyroid and other endocrine glands,CHAPTER II Neoplasms,,72,89,161,81,111,192,62,112,174,73,101,174,95,82,177,86,105,191,82,108,190,87,110,197,93,94,187,111,94,205
Malignant neoplasm of thyroid gland,CHAPTER II Neoplasms,,45,60,105,50,79,129,38,77,115,45,72,117,67,59,126,59,74,133,54,79,133,65,80,145,66,74,140,77,66,143
Malignant neoplasm of adrenal gland,CHAPTER II Neoplasms,,18,20,38,23,23,46,18,29,47,22,26,48,22,19,41,21,25,46,23,27,50,20,23,43,18,16,34,29,22,51
